Comparison,Wilcoxon_Statistic,Raw_p,Corrected_p,Significant
Rewrite 1 vs Rewrite 2,21950.5,0.17551005319273671,0.35102010638547343,False
Rewrite 1 vs Rewrite 3,17501.0,2.482752992314123e-06,2.2344776930827106e-05,True
Rewrite 1 vs Rewrite 4,20908.0,0.08848612931985422,0.26545838795956267,False
Rewrite 1 vs Rewrite 5,20216.0,0.026024393398497922,0.10409757359399169,False
Rewrite 2 vs Rewrite 3,15250.5,9.71406837670703e-10,9.714068376707031e-09,True
Rewrite 2 vs Rewrite 4,20345.0,0.0023836162348383227,0.014301697409029937,True
Rewrite 2 vs Rewrite 5,16936.0,0.0002688374324775854,0.002150699459820683,True
Rewrite 3 vs Rewrite 4,14661.0,0.0011530653141073623,0.008071457198751537,True
Rewrite 3 vs Rewrite 5,15640.5,0.007061342394668319,0.03530671197334159,True
Rewrite 4 vs Rewrite 5,21168.0,0.6036770662397655,0.6036770662397655,False
